Check out the Expansion Module MODBUS Addresses,,,,,
name,units,addr,len,gain,offset
Sample Time,day,1792,2,1.16E-05,25569
Eng Runtime,hr,1798,2,0.000278,0
Engine Speed,RPM,1030,1,1,0
300V Buss Volt,VDC,1223,1,1,0
300V Charge Amp,A,1224,2,0.1,0
300V Load Amp,A,1226,2,0.1,0
300V Battery Amp,A,1230,2,0.1,0
SOC,%,43809,1,1,0
48V Load Volt,V,43813,1,-1,0
48V Load Amp,A,43817,1,1,0
Fuel Level,kPa,43815,1,1,0
EGT,degC,43978,1,1,0
Oil Press,kPa,1024,1,1,0
Cool Temp,degC,1025,1,1,0
Alt Temp,degC,43979,1,1,0
Inlet Temp,degC,43980,1,1,0
Bat Bay Temp,degC,43981,1,1,0
Eng Inlet Temp,degC,43982,1,1,0
Outlet Temp,degC,43983,1,1,0
